chA,chB,pA,pB,d,score
ADC,ADC,0.0,0.0,fidelity,0.9120621449160183
ADC,ADC,0.1,0.1,fidelity,0.8501809851607708
ADC,ADC,0.2,0.2,fidelity,0.7967494706332369
ADC,ADC,0.30000000000000004,0.30000000000000004,fidelity,0.7647363436005254
ADC,ADC,0.4,0.4,fidelity,0.7295140263869868
ADC,ADC,0.5,0.5,fidelity,0.6981830197385467
ADC,ADC,0.6000000000000001,0.6000000000000001,fidelity,0.6772255748854884
ADC,ADC,0.7000000000000001,0.7000000000000001,fidelity,0.6597706837089145
ADC,ADC,0.8,0.8,fidelity,0.6498930543991709
ADC,ADC,0.9,0.9,fidelity,0.633923121156482
ADC,ADC,1.0,1.0,fidelity,0.6229345977482708
